order_id,order_item,date,cafe_id
1,"Pizza","2023-01-01",1
2,"Burger","2023-01-02",2
3,"Pasta","2023-01-03",3
4,"Salad","2023-01-04",4
5,"Coffee","2023-01-05",5
6,"Tea","2023-01-06",6
7,"Ice Cream","2023-01-07",7
8,"Sandwich","2023-01-08",8
9,"Sushi","2023-01-09",9
10,"Curry","2023-01-10",10
11,"Fries","2023-01-11",1
12,"Taco","2023-01-12",2
13,"Hotdog","2023-01-13",3
14,"Nachos","2023-01-14",4
15,"Chowder","2023-01-15",5
16,"Waffles","2023-01-16",6
17,"Pancakes","2023-01-17",7
18,"Smoothie","2023-01-18",8
19,"Cereal","2023-01-19",9
20,"Bagel","2023-01-20",10
21,"Toast","2023-01-21",1
22,"Muffin","2023-01-22",2
23,"Brownie","2023-01-23",3
24,"Cheesecake","2023-01-24",4
25,"Pudding","2023-01-25",5
26,"Gelato","2023-01-26",6
27,"Pita","2023-01-27",7
28,"Crepe","2023-01-28",8
29,"Donaire","2023-01-29",9
30,"Ramen","2023-01-30",10
